,attrition,businesstravel,department,educationfield,gender,jobrole,maritalstatus,over18,overtime,standardhours,roledepartament,remotework
0,No,,,,0, resEArch DIREcToR ,,Y,No,Full Time,,Yes
1,No,,,Life Sciences,0, ManAGeR ,,,,,,1
2,No,travel_rarely, Research & Development ,Technical Degree,0, ManaGER ,Married,,No,, ManaGER  -  Research & Development ,1
3,No,travel_rarely,,Medical,1, ReseArCH DIrECtOr ,Married,Y,,Full Time,,False
4,No,,,Technical Degree,1, sAleS EXECUtIve ,Divorced,Y,No,,,0
5,No,, Research & Development ,Medical,1, MANAger ,,,No,, MANAger  -  Research & Development ,Yes
6,No,,,Life Sciences,1, Sales ExeCutIVe ,,Y,,Part Time,,True
7,No,travel_rarely,,,0, Sales eXEcUTiVe ,Married,,No,Part Time,,0
8,No,,,,1, mANAGEr ,Married,,No,Full Time,,True
9,No,travel_frequently,,,0, reSEaRCH DIrectoR ,,,No,,,0
10,No,non-travel,,,1, RESeArcH DIrEctoR ,,Y,No,Full Time,,0
11,No,travel_rarely,,Life Sciences,0, MANUfACturing DIReCtOr ,Married,,Yes,Full Time,,False
12,No,,,Medical,1, REseaRCh dirEcToR ,Married,Y,No,Full Time,,1
13,Yes,travel_rarely,,,1, reseARCh DIrEctoR ,Married,,No,Full Time,,False
14,No,,,Medical,0, RESeaRCH dirEctor ,Single,,No,,,True
15,No,travel_rarely,,,1, MAnAgeR ,,,No,Full Time,,0
16,Yes,travel_rarely,,,0, reSeARCh DIrEcToR ,Single,Y,Yes,Full Time,,0
17,No,travel_rarely,,,1, MAnaGER ,,,,,,False
18,No,,,Life Sciences,0, REseArcH sciENtiST ,Married,,,,,False
19,No,travel_rarely,,Life Sciences,1, MAnUFaCtUring dIRecTOr ,,Y,,,,True
20,No,non-travel, Research & Development ,,0, heaLtHcArE repResENtATiVe ,,Y,,Full Time, heaLtHcArE repResENtATiVe  -  Research & Development ,False
21,No,,,Life Sciences,1, RESEARCH dIrECtor ,Single,,Yes,Part Time,,True
22,No,,,,1, hEaltHCarE ReprESENTAtIvE ,Divorced,Y,,,,1
23,No,,,Other,1, maNagEr ,Married,,,Full Time,,False
24,No,travel_rarely,,Life Sciences,0, SALEs exeCUtIVe ,,Y,,Full Time,,True
25,No,,,Life Sciences,1, manUfACtURing dirEctOR ,Married,Y,Yes,Part Time,,False
26,Yes,,,,1, mAnageR ,Married,Y,No,Full Time,,1
27,No,,,Life Sciences,1, MaNufActURing dIrecTOr ,Single,Y,Yes,,,0
28,No,travel_rarely,,Life Sciences,0, laBoratOry tecHNiCiaN ,Married,Y,,Part Time,,Yes
29,No,non-travel, Sales ,Life Sciences,0, saLEs exEcutIVe ,,Y,Yes,Part Time, saLEs exEcutIVe  -  Sales ,1
30,No,, Sales ,,1, Sales ExECuTIVe ,Divorced,,,Full Time, Sales ExECuTIVe  -  Sales ,Yes
31,No,, Research & Development ,Medical,0, heALthCArE RePResEntaTIVe ,,,,, heALthCArE RePResEntaTIVe  -  Research & Development ,Yes
32,No,travel_rarely,,,1, ManAgER ,,,,Full Time,,Yes
33,No,,,Marketing,0, salEs EXeCUtIvE ,Single,Y,No,Part Time,,0
34,No,travel_rarely,,Other,1, rEsEARcH SCIeNTist ,Single,Y,,,,True
35,No,travel_rarely,,,1, SALEs eXECuTive ,Divorced,,No,Part Time,,Yes
36,No,,,,1, ManagEr ,Married,,,Full Time,,1
37,No,, Research & Development ,Life Sciences,0, lABORAtOry tECHnIcIan ,Married,,,Full Time, lABORAtOry tECHnIcIan  -  Research & Development ,True
38,No,travel_frequently,,,1, Sales exEcUtiVe ,Married,Y,No,Full Time,,1
39,No,travel_frequently,,,0, saLes eXEcUTIVE ,Married,,Yes,Full Time,,0
40,No,travel_rarely,,,1, maNufactUring DIrEcToR ,Married,Y,No,Full Time,,0
41,No,travel_rarely,,,0, LaboRAtorY TecHNiCiAn ,Single,,Yes,Full Time,,1
42,No,,,Medical,0, ManageR ,Divorced,,No,Full Time,,False
43,Yes,travel_rarely,,,1, LABorAToRY tECHnIciAN ,Single,Y,,Part Time,,Yes
44,No,,,Life Sciences,1, RESEarch SCIenTisT ,Divorced,,Yes,Part Time,,0
45,No,travel_rarely,,,0, SalES exECUTIve ,Married,,No,,,1
46,No,,,,1, heAltHCare rEPrESEntaTIvE ,Single,,,Part Time,,True
47,No,,,,0, maNaGeR ,Married,,Yes,Full Time,,1
48,No,,,Life Sciences,1, ResEARCh SciENTist ,Single,,No,Part Time,,Yes
49,No,travel_rarely,,Technical Degree,1, salES ExecuTIve ,Married,,Yes,Part Time,,True
50,No,,,,1, ReSeaRch directOR ,Married,,,Part Time,,False
51,No,,,Life Sciences,1, mAnAgER ,,,No,Full Time,,Yes
52,Yes,travel_rarely,,Medical,0, sAles EXecuTive ,Married,,,,,0
53,No,,,Medical,1, MaNAGEr ,Married,,No,,,Yes
54,No,non-travel,,Life Sciences,0, hEALThcArE REPrESeNTATive ,Divorced,Y,No,,,Yes
55,No,non-travel,,Marketing,0, SAlES ExECuTIVe ,divorced,Y,No,Full Time,,1
56,No,,,Medical,1, rEseARch SCieNtIsT ,,Y,,Part Time,,Yes
57,No,,,Medical,1, maNufActUrInG DIrECtOr ,,,No,Part Time,,0
58,No,travel_rarely,,Life Sciences,1, sALEs eXeCuTIvE ,Married,,,Full Time,,Yes
59,No,,,,0, SALES eXECUtiVE ,Married,Y,No,Full Time,,Yes
60,No,,,,0, lAboratORy TeChNiCiaN ,Single,Y,No,Full Time,,1
61,No,,,,1, RESEaRCh sCIENtIst ,Married,Y,Yes,,,0
62,No,,,,0, REsEarcH sCieNTISt ,,Y,,Full Time,,Yes
63,No,travel_frequently,,Life Sciences,0, heaLthCaRE ReprEseNtaTiVe ,Divorced,,No,Part Time,,False
64,No,travel_rarely, Research & Development ,,0, ManufactUrINg DiReCTOr ,Married,,Yes,Full Time, ManufactUrINg DiReCTOr  -  Research & Development ,False
65,No,travel_rarely,,,0, HEaLthcAre REPrEsEntaTIvE ,Single,,,Part Time,,Yes
66,No,travel_rarely, Sales ,,1, SaleS eXEcUtIVE ,Married,,,, SaleS eXEcUtIVE  -  Sales ,1
67,No,travel_rarely,,,0, reseaRCH ScIEntIst ,Single,Y,,Part Time,,Yes
68,No,,,,1, HEAlTHcaRe ReprESeNtatIVe ,,,No,Part Time,,True
69,No,travel_rarely,,,1, HeaLthCare repRESeNTaTIVE ,Single,,,Full Time,,True
70,No,non-travel, Research & Development ,,1, HEaLthcaRe rEprEsEnTAtiVe ,,,,Part Time, HEaLthcaRe rEprEsEnTAtiVe  -  Research & Development ,True
71,No,,,Life Sciences,1, ReseArcH diReCtOr ,,,No,Part Time,,0
72,No,,,Life Sciences,1, healthcArE repReSEnTaTive ,,,,Full Time,,Yes
