,attrition,businesstravel,department,educationfield,gender,jobrole,maritalstatus,over18,overtime,standardhours,roledepartament,remotework
0,No,,,,M, research director ,,Yes,No,Full Time,,yes
1,No,,,Life Sciences,M, manager ,,,,,,yes
2,No,travel rarely, Research & Development ,Technical Degree,M, manager ,Married,,No,, manager  -  research & development ,yes
3,No,travel rarely,,Medical,F, research director ,Married,Yes,,Full Time,,no
4,No,,,Technical Degree,F, sales executive ,Divorced,Yes,No,,,no
5,No,, Research & Development ,Medical,F, manager ,,,No,, manager  -  research & development ,yes
6,No,,,Life Sciences,F, sales executive ,,Yes,,Part Time,,yes
7,No,travel rarely,,,M, sales executive ,Married,,No,Part Time,,no
8,No,,,,F, manager ,Married,,No,Full Time,,yes
9,No,travel frequently,,,M, research director ,,,No,,,no
10,No,non travel,,,F, research director ,,Yes,No,Full Time,,no
11,No,travel rarely,,Life Sciences,M, manufacturing director ,Married,,Yes,Full Time,,no
12,No,,,Medical,F, research director ,Married,Yes,No,Full Time,,yes
13,Yes,travel rarely,,,F, research director ,Married,,No,Full Time,,no
14,No,,,Medical,M, research director ,Single,,No,,,yes
15,No,travel rarely,,,F, manager ,,,No,Full Time,,no
16,Yes,travel rarely,,,M, research director ,Single,Yes,Yes,Full Time,,no
17,No,travel rarely,,,F, manager ,,,,,,no
18,No,,,Life Sciences,M, research scientist ,Married,,,,,no
19,No,travel rarely,,Life Sciences,F, manufacturing director ,,Yes,,,,yes
20,No,non travel, Research & Development ,,M, healthcare representative ,,Yes,,Full Time, healthcare representative  -  research & development ,no
21,No,,,Life Sciences,F, research director ,Single,,Yes,Part Time,,yes
22,No,,,,F, healthcare representative ,Divorced,Yes,,,,yes
23,No,,,Other,F, manager ,Married,,,Full Time,,no
24,No,travel rarely,,Life Sciences,M, sales executive ,,Yes,,Full Time,,yes
25,No,,,Life Sciences,F, manufacturing director ,Married,Yes,Yes,Part Time,,no
26,Yes,,,,F, manager ,Married,Yes,No,Full Time,,yes
27,No,,,Life Sciences,F, manufacturing director ,Single,Yes,Yes,,,no
28,No,travel rarely,,Life Sciences,M, laboratory technician ,Married,Yes,,Part Time,,yes
29,No,non travel, Sales ,Life Sciences,M, sales executive ,,Yes,Yes,Part Time, sales executive  -  sales ,yes
30,No,, Sales ,,F, sales executive ,Divorced,,,Full Time, sales executive  -  sales ,yes
31,No,, Research & Development ,Medical,M, healthcare representative ,,,,, healthcare representative  -  research & development ,yes
32,No,travel rarely,,,F, manager ,,,,Full Time,,yes
33,No,,,Marketing,M, sales executive ,Single,Yes,No,Part Time,,no
34,No,travel rarely,,Other,F, research scientist ,Single,Yes,,,,yes
35,No,travel rarely,,,F, sales executive ,Divorced,,No,Part Time,,yes
36,No,,,,F, manager ,Married,,,Full Time,,yes
37,No,, Research & Development ,Life Sciences,M, laboratory technician ,Married,,,Full Time, laboratory technician  -  research & development ,yes
38,No,travel frequently,,,F, sales executive ,Married,Yes,No,Full Time,,yes
39,No,travel frequently,,,M, sales executive ,Married,,Yes,Full Time,,no
40,No,travel rarely,,,F, manufacturing director ,Married,Yes,No,Full Time,,no
41,No,travel rarely,,,M, laboratory technician ,Single,,Yes,Full Time,,yes
42,No,,,Medical,M, manager ,Divorced,,No,Full Time,,no
43,Yes,travel rarely,,,F, laboratory technician ,Single,Yes,,Part Time,,yes
44,No,,,Life Sciences,F, research scientist ,Divorced,,Yes,Part Time,,no
45,No,travel rarely,,,M, sales executive ,Married,,No,,,yes
46,No,,,,F, healthcare representative ,Single,,,Part Time,,yes
47,No,,,,M, manager ,Married,,Yes,Full Time,,yes
48,No,,,Life Sciences,F, research scientist ,Single,,No,Part Time,,yes
49,No,travel rarely,,Technical Degree,F, sales executive ,Married,,Yes,Part Time,,yes
50,No,,,,F, research director ,Married,,,Part Time,,no
51,No,,,Life Sciences,F, manager ,,,No,Full Time,,yes
52,Yes,travel rarely,,Medical,M, sales executive ,Married,,,,,no
53,No,,,Medical,F, manager ,Married,,No,,,yes
54,No,non travel,,Life Sciences,M, healthcare representative ,Divorced,Yes,No,,,yes
55,No,non travel,,Marketing,M, sales executive ,Divorced,Yes,No,Full Time,,yes
56,No,,,Medical,F, research scientist ,,Yes,,Part Time,,yes
57,No,,,Medical,F, manufacturing director ,,,No,Part Time,,no
58,No,travel rarely,,Life Sciences,F, sales executive ,Married,,,Full Time,,yes
59,No,,,,M, sales executive ,Married,Yes,No,Full Time,,yes
60,No,,,,M, laboratory technician ,Single,Yes,No,Full Time,,yes
61,No,,,,F, research scientist ,Married,Yes,Yes,,,no
62,No,,,,M, research scientist ,,Yes,,Full Time,,yes
63,No,travel frequently,,Life Sciences,M, healthcare representative ,Divorced,,No,Part Time,,no
64,No,travel rarely, Research & Development ,,M, manufacturing director ,Married,,Yes,Full Time, manufacturing director  -  research & development ,no
65,No,travel rarely,,,M, healthcare representative ,Single,,,Part Time,,yes
66,No,travel rarely, Sales ,,F, sales executive ,Married,,,, sales executive  -  sales ,yes
67,No,travel rarely,,,M, research scientist ,Single,Yes,,Part Time,,yes
68,No,,,,F, healthcare representative ,,,No,Part Time,,yes
69,No,travel rarely,,,F, healthcare representative ,Single,,,Full Time,,yes
70,No,non travel, Research & Development ,,F, healthcare representative ,,,,Part Time, healthcare representative  -  research & development ,yes
71,No,,,Life Sciences,F, research director ,,,No,Part Time,,no
72,No,,,Life Sciences,F, healthcare representative ,,,,Full Time,,yes
73,No,travel frequently,,Life Sciences,M, research scientist ,,Yes,No,Part Time,,yes
74,No,,,,M, laboratory technician ,,,No,Part Time,,yes
75,No,travel rarely,,Life Sciences,F, manufacturing director ,Divorced,,Yes,Part Time,,yes
76,No,, Research & Development ,,F, research scientist ,Divorced,,,, research scientist  -  research & development ,no
77,No,travel rarely,,Life Sciences,F, research director ,,,Yes,Part Time,,yes
78,No,,,,M, healthcare representative ,Married,,No,Part Time,,yes
79,No,travel rarely,,,M, sales executive ,Single,,,Full Time,,yes
80,No,travel rarely,,,F, manager ,Single,,,,,no
81,Yes,travel rarely,,Medical,F, healthcare representative ,Married,,,Part Time,,yes
82,No,,,Life Sciences,M, sales executive ,Divorced,Yes,,,,yes
83,No,travel frequently,,,F, sales executive ,Married,Yes,,Part Time,,yes
84,No,travel rarely,,Medical,M, manager ,Single,Yes,,Full Time,,yes
85,No,,,,M, manager ,,,,,,yes
86,No,travel rarely, Research & Development ,,M, healthcare representative ,,,No,Part Time, healthcare representative  -  research & development ,no
87,No,,,Life Sciences,M, research director ,,,,Full Time,,yes
88,No,,,,M, research director ,,,No,Full Time,,yes
89,No,,,,F, manufacturing director ,Married,,No,,,yes
90,No,travel rarely, Research & Development ,Life Sciences,M, manager ,,Yes,No,Full Time, manager  -  research & development ,yes
91,No,,,Technical Degree,M, manufacturing director ,Married,Yes,No,Part Time,,no
92,No,,,,M, manufacturing director ,,,Yes,,,yes
93,No,, Research & Development ,,F, healthcare representative ,Divorced,,Yes,Part Time, healthcare representative  -  research & development ,yes
94,No,travel rarely,,,M, healthcare representative ,Married,Yes,,Part Time,,yes
95,No,, Sales ,Life Sciences,F, sales executive ,Married,Yes,,Part Time, sales executive  -  sales ,no
96,No,, Research & Development ,Medical,M, research scientist ,Married,Yes,,, research scientist  -  research & development ,no
97,No,travel frequently,,,M, research scientist ,Married,Yes,No,Full Time,,no
98,Yes,,,Marketing,F, manager ,,,Yes,Full Time,,yes
99,No,travel frequently,,,M, manager ,,,Yes,Full Time,,no
100,No,travel rarely,,Technical Degree,M, sales representative ,,,Yes,Part Time,,no
101,No,travel rarely, Research & Development ,,M, research director ,,,No,Full Time, research director  -  research & development ,yes
102,No,,,Medical,M, laboratory technician ,,Yes,No,Part Time,,no
103,No,,,,M, human resources ,Divorced,,No,Part Time,,yes
104,No,,,,M, research director ,,Yes,No,Full Time,,no
105,No,, Research & Development ,Other,M, research scientist ,Married,,Yes,Full Time, research scientist  -  research & development ,no
106,No,travel rarely,,,F, sales executive ,,Yes,No,Full Time,,yes
107,No,travel rarely,,Life Sciences,F, manufacturing director ,Divorced,Yes,No,,,no
108,No,,,Medical,M, healthcare representative ,Married,,Yes,,,no
109,No,, Human Resources ,,M, human resources ,Married,,Yes,Full Time, human resources  -  human resources ,no
110,No,,,Life Sciences,M, laboratory technician ,,Yes,No,Part Time,,yes
111,No,travel rarely,,,F, sales executive ,,Yes,No,Part Time,,yes
112,No,,,,M, laboratory technician ,,Yes,No,Part Time,,yes
113,No,travel frequently,,,M, manufacturing director ,Married,,,,,no
114,No,travel rarely,,Life Sciences,M, research director ,Married,,No,Full Time,,no
115,No,,,Life Sciences,M, manufacturing director ,,,,Part Time,,yes
116,No,travel rarely,,,M, sales executive ,Married,Yes,,Part Time,,yes
117,No,travel frequently,,Life Sciences,M, laboratory technician ,,Yes,,Part Time,,yes
118,No,,,,M, manager ,Married,,,Full Time,,yes
119,No,,,,F, manufacturing director ,Married,,No,Part Time,,no
120,No,, Research & Development ,,M, manager ,Married,Yes,,Full Time, manager  -  research & development ,yes
121,No,travel rarely,,,M, research scientist ,,Yes,No,Part Time,,yes
122,No,travel rarely, Sales ,Marketing,F, sales executive ,,,,, sales executive  -  sales ,yes
123,No,,,Medical,F, manufacturing director ,,Yes,,Part Time,,no
124,No,,,Medical,M, sales executive ,Married,Yes,No,Part Time,,yes
125,No,travel rarely,,,M, sales executive ,Married,,,Part Time,,yes
126,No,travel rarely,,,F, manager ,Single,Yes,No,Full Time,,yes
127,No,,,,M, sales executive ,,Yes,,Part Time,,yes
128,No,travel rarely,,Medical,M, manufacturing director ,Married,,,Part Time,,no
129,No,travel rarely,,,M, research scientist ,Divorced,Yes,Yes,Full Time,,yes
130,No,,,Life Sciences,M, research director ,,,Yes,Full Time,,yes
131,No,travel rarely, Research & Development ,,M, research scientist ,Married,,No,Part Time, research scientist  -  research & development ,yes
132,Yes,travel rarely,,Other,M, research scientist ,Single,Yes,,Part Time,,no
133,No,, Research & Development ,Medical,M, research director ,Married,,No,, research director  -  research & development ,yes
134,No,travel rarely,,,F, research director ,,Yes,No,Full Time,,yes
135,No,travel rarely,,Other,F, laboratory technician ,Married,,,Part Time,,no
136,No,,,,M, sales executive ,,Yes,,Part Time,,no
137,No,travel rarely,,Life Sciences,F, healthcare representative ,Married,,,Part Time,,no
138,No,, Sales ,Marketing,M, manager ,Married,Yes,No,Full Time, manager  -  sales ,no
139,No,non travel,,,M, manufacturing director ,Single,Yes,,Part Time,,no
140,Yes,travel frequently,,Life Sciences,M, sales executive ,Single,,,Full Time,,yes
141,No,travel frequently,,,M, healthcare representative ,Single,,No,,,yes
142,No,travel rarely, Research & Development ,Medical,M, research scientist ,,,Yes,, research scientist  -  research & development ,yes
143,No,travel rarely,,Life Sciences,M, research director ,Married,,No,Full Time,,yes
144,No,travel rarely,,Medical,F, healthcare representative ,Single,,No,Part Time,,no
145,No,,,,M, manager ,Married,,No,Full Time,,yes
146,No,non travel,,,M, healthcare representative ,Divorced,Yes,Yes,Full Time,,no
147,No,travel rarely,,Life Sciences,M, manager ,Divorced,Yes,No,Full Time,,no
148,No,travel frequently, Human Resources ,Life Sciences,M, human resources ,,Yes,No,, human resources  -  human resources ,yes
149,No,,,,F, manager ,Divorced,,Yes,Full Time,,no
150,No,travel rarely,,Medical,F, manager ,,Yes,,Full Time,,yes
