,attrition,businesstravel,department,educationfield,gender,jobrole,overtime,remotework,age,distancefromhome,education,employeenumber,environmentsatisfaction,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,salary
0,no,non travel,unknown,unknown,M, research director ,no,yes,51,6,3,1,1.0,3,5,3,16280.83,4233.02,7,13,3,3,0,5,3,20,15,15,195370.0
1,no,non travel,unknown,life sciences,M, manager ,no,yes,52,1,4,2,3.0,2,5,3,16665.83,4333.12,0,14,3,1,1,5,3,33,11,9,199990.0
2,no,travel rarely, research & development ,technical degree,M, manager ,no,yes,42,4,2,3,3.0,3,5,4,16026.67,4166.93,1,11,3,4,0,3,3,22,11,15,192320.0
3,no,travel rarely,unknown,medical,F, research director ,no,no,47,2,4,4,1.0,3,4,3,14307.5,3719.95,3,19,3,2,2,2,3,20,5,6,171690.0
4,no,non travel,unknown,technical degree,F, sales executive ,no,no,46,3,3,5,1.0,4,4,1,12783.92,3323.82,2,12,3,4,1,5,3,19,2,8,153407.04
5,no,non travel, research & development ,medical,F, manager ,no,yes,48,22,3,6,4.0,3,4,4,14311.67,3721.03,3,11,3,2,1,3,3,22,4,7,171740.04
6,no,non travel,unknown,life sciences,F, sales executive ,no,yes,59,25,3,7,1.0,3,3,1,8339.32,2168.22,7,11,3,4,0,3,2,21,7,9,100071.84
7,no,travel rarely,unknown,unknown,M, sales executive ,no,no,42,1,1,8,2.0,3,2,3,4492.84,1168.14,1,25,4,3,0,3,3,20,11,6,53914.11
8,no,non travel,unknown,unknown,F, manager ,no,yes,41,2,5,9,2.0,3,4,1,13829.17,3595.58,7,16,3,2,1,2,3,18,11,8,165950.0
9,no,travel frequently,unknown,unknown,M, research director ,no,no,41,9,3,10,1.0,3,5,3,15943.72,4145.37,2,17,3,2,1,2,4,18,0,11,191324.64
10,no,non travel,unknown,unknown,F, research director ,no,no,41,7,1,11,2.0,1,5,3,16644.17,4327.48,1,22,4,2,2,3,3,21,5,10,199730.0
11,no,travel rarely,unknown,life sciences,M, manufacturing director ,yes,no,56,23,3,12,4.0,3,4,2,11168.33,2903.77,4,12,3,1,1,0,3,19,15,9,134020.0
12,no,non travel,unknown,medical,F, research director ,no,yes,38,10,3,13,2.0,1,3,3,11005.0,2861.3,3,12,3,1,1,3,3,18,1,11,132060.0
13,yes,travel rarely,unknown,unknown,F, research director ,no,no,41,12,3,14,2.0,3,5,3,16287.5,4234.75,1,12,3,4,0,0,3,22,15,8,195450.0
14,no,non travel,unknown,medical,M, research director ,no,yes,55,14,4,15,3.0,4,5,2,15943.72,4145.37,8,11,3,4,0,3,3,24,2,15,191324.64
15,no,travel rarely,unknown,unknown,F, manager ,no,no,40,2,4,16,3.0,3,5,3,15034.17,3908.88,0,14,3,4,0,2,3,20,1,12,180410.0
16,yes,travel rarely,unknown,unknown,M, research director ,yes,no,58,2,4,17,4.0,3,5,2,16038.33,4169.97,7,12,3,4,0,2,3,31,13,8,192460.0
17,no,travel rarely,unknown,unknown,F, manager ,no,no,46,2,3,18,3.0,3,4,1,12783.92,3323.82,8,23,4,1,0,2,3,26,15,9,153407.04
18,no,non travel,unknown,life sciences,M, research scientist ,no,no,35,13,5,19,2.0,4,2,1,4492.84,1168.14,1,11,3,4,0,2,3,16,1,10,53914.08
19,no,travel rarely,unknown,life sciences,F, manufacturing director ,no,yes,40,15,3,20,1.0,2,3,3,8339.32,2168.22,1,13,3,4,2,2,3,18,14,12,100071.84
20,no,non travel, research & development ,unknown,M, healthcare representative ,no,no,45,1,1,21,3.0,2,3,3,8956.67,2328.73,3,23,4,4,1,3,2,23,14,4,107480.0
21,no,non travel,unknown,life sciences,F, research director ,yes,yes,33,1,2,22,1.0,3,3,4,8339.32,2168.22,1,12,3,3,0,1,3,15,8,12,100071.84
22,no,non travel,unknown,unknown,F, healthcare representative ,no,yes,36,8,3,23,3.0,3,3,3,8339.32,2168.22,1,13,3,2,3,2,3,17,12,8,100071.84
23,no,non travel,unknown,other,F, manager ,no,no,47,2,2,24,3.0,3,4,4,13960.0,3629.6,1,11,3,3,1,3,2,26,3,0,167520.0
24,no,travel rarely,unknown,life sciences,M, sales executive ,no,yes,36,42,2,25,4.0,3,2,4,5167.5,1343.55,1,14,3,4,1,1,3,18,4,11,62010.0
