,employeenumber,monthlyincome,monthlyrate,percentsalaryhike,salary
0,1,16280.83,4233.02,13,195370.0
1,2,16665.83,4333.12,14,199990.0
2,3,16026.67,4166.93,11,192320.0
3,4,14307.5,3719.95,19,171690.0
4,5,12783.92,3323.82,12,153407.04
5,6,14311.67,3721.03,11,171740.04
6,7,8339.32,2168.22,11,100071.84
7,8,4492.84,1168.14,25,53914.11
8,9,13829.17,3595.58,16,165950.0
9,10,15943.72,4145.37,17,191324.64
10,11,16644.17,4327.48,22,199730.0
11,12,11168.33,2903.77,12,134020.0
12,13,11005.0,2861.3,12,132060.0
13,14,16287.5,4234.75,12,195450.0
14,15,15943.72,4145.37,11,191324.64
15,16,15034.17,3908.88,14,180410.0
16,17,16038.33,4169.97,12,192460.0
17,18,12783.92,3323.82,23,153407.04
18,19,4492.84,1168.14,11,53914.08
19,20,8339.32,2168.22,13,100071.84
20,21,8956.67,2328.73,23,107480.0
21,22,8339.32,2168.22,12,100071.84
22,23,8339.32,2168.22,13,100071.84
23,24,13960.0,3629.6,11,167520.0
24,25,5167.5,1343.55,14,62010.0
25,26,8339.32,2168.22,20,100071.84
26,27,16537.5,4299.75,15,198450.0
27,28,4492.84,1168.14,11,53914.11
28,29,4492.84,1168.14,12,53914.11
29,30,3334.17,866.88,14,40010.0
30,31,8705.83,2263.52,13,104470.0
31,32,8339.32,2168.22,23,100071.84
32,33,15943.72,4145.37,11,191324.62
33,34,4492.84,1168.14,14,53914.11
34,35,4492.84,1168.14,14,53914.08
35,36,8339.32,2168.22,25,100071.84
36,37,13386.67,3480.53,22,160640.0
37,38,2675.0,695.5,11,32100.0
38,39,8555.0,2224.3,19,102660.0
39,40,8729.17,2269.58,21,104750.0
40,41,5135.0,1335.1,12,61620.0
41,42,3934.17,1022.88,13,47210.0
42,43,12783.92,3323.82,13,153407.07
43,44,2342.59,609.08,16,28111.13
44,45,3845.83,999.92,23,46150.0
45,46,4492.84,1168.14,15,53914.11
46,47,8339.32,2168.22,20,100071.84
47,48,14132.5,3674.45,12,169590.0
48,49,2342.59,609.08,12,28111.13
49,50,4492.84,1168.14,11,53914.11
50,51,8339.32,2168.22,13,100071.84
51,52,12783.92,3323.82,12,153407.07
52,53,8588.33,2232.97,17,103059.96
53,54,15943.72,4145.37,13,191324.64
54,55,4492.84,1168.14,21,53914.08
55,56,4505.0,1171.3,24,54060.0
56,57,4492.84,1168.14,12,53914.11
57,58,4492.84,1168.14,14,53914.11
58,59,4918.33,1278.77,14,59020.0
59,60,9045.83,2351.92,11,108550.0
60,61,4928.33,1281.37,16,59140.0
61,62,4492.84,1168.14,15,53914.11
62,63,5538.33,1439.97,13,66460.0
63,64,4492.84,1168.14,23,53914.11
64,65,11644.17,3027.48,18,139730.0
65,66,8339.32,2168.22,14,100071.84
66,67,11100.0,2886.0,18,133200.0
67,68,4492.84,1168.14,25,53914.11
68,69,4492.84,1168.14,20,53914.11
69,70,5572.5,1448.85,11,66870.0
70,71,4492.84,1168.14,12,53914.11
71,72,8339.32,2168.22,15,100071.84
72,73,12783.92,3323.82,19,153407.07
73,74,3945.83,1025.92,15,47350.0
74,75,2342.59,609.08,18,28111.13
75,76,8339.32,2168.22,12,100071.84
76,77,4492.84,1168.14,16,53914.08
77,78,8339.32,2168.22,25,100071.84
78,79,4492.84,1168.14,19,53914.11
79,80,11560.0,3005.6,13,138720.0
80,81,8339.32,2168.22,12,100071.84
81,82,8339.32,2168.22,12,100071.84
82,83,8339.32,2168.22,12,100071.84
83,84,8339.32,2168.22,14,100071.84
84,85,15870.83,4126.42,14,190450.0
85,86,13345.83,3469.92,19,160149.96
86,87,8010.83,2082.82,17,96130.0
87,88,9591.67,2493.83,14,115100.0
88,89,12783.92,3323.82,11,153407.07
89,90,3588.33,932.97,12,43059.96
90,91,14205.0,3693.3,15,170460.0
91,92,8339.32,2168.22,16,100071.84
92,93,4222.5,1097.85,19,50670.0
93,94,8339.32,2168.22,11,100071.84
94,95,8339.32,2168.22,20,100071.84
95,96,4492.84,1168.14,13,53914.11
96,97,2342.59,609.08,13,28111.13
97,98,3076.67,799.93,12,36920.0
98,99,15943.72,4145.37,16,191324.62
99,100,16539.17,4300.18,24,198470.0
100,101,1923.33,500.07,25,23080.0
