,employeenumber,environmentsatisfaction,relationshipsatisfaction,jobsatisfaction,jobinvolvement,performancerating,worklifebalance
0,1,1.0,3,3,3,3,3
1,2,3.0,1,3,2,3,3
2,3,3.0,4,4,3,3,3
3,4,1.0,2,3,3,3,3
4,5,1.0,4,1,4,3,3
5,6,4.0,2,4,3,3,3
6,7,1.0,4,1,3,3,2
7,8,2.0,3,3,3,4,3
8,9,2.0,2,1,3,3,3
9,10,1.0,2,3,3,3,4
10,11,2.0,2,3,1,4,3
11,12,4.0,1,2,3,3,3
12,13,2.0,1,3,1,3,3
13,14,2.0,4,3,3,3,3
14,15,3.0,4,2,4,3,3
15,16,3.0,4,3,3,3,3
16,17,4.0,4,2,3,3,3
17,18,3.0,1,1,3,4,3
18,19,2.0,4,1,4,3,3
19,20,1.0,4,3,2,3,3
20,21,3.0,4,3,2,4,2
21,22,1.0,3,4,3,3,3
22,23,3.0,2,3,3,3,3
23,24,3.0,3,4,3,3,2
24,25,4.0,4,4,3,3,3
25,26,4.0,2,3,2,4,3
26,27,1.0,4,4,1,3,3
27,28,3.0,4,2,3,3,3
28,29,2.0,2,3,3,3,3
29,30,4.0,3,3,3,3,3
30,31,4.0,4,3,3,3,4
31,32,1.0,2,3,3,4,3
32,33,3.0,4,3,3,3,2
33,34,3.0,2,1,2,3,3
34,35,1.0,3,3,3,3,3
35,36,2.0,3,1,3,4,3
36,37,4.0,3,4,3,4,3
37,38,4.0,3,4,3,3,3
38,39,3.0,4,1,2,3,4
39,40,4.0,3,1,2,4,3
40,41,3.0,3,3,2,3,3
41,42,4.0,3,1,3,3,3
42,43,3.0,3,3,3,3,4
43,44,3.0,3,1,4,3,3
44,45,4.0,1,1,2,4,3
45,46,4.0,1,2,3,3,3
46,47,1.0,3,1,2,4,2
47,48,3.0,4,4,3,3,4
48,49,4.0,2,4,3,3,3
49,50,3.0,4,2,2,3,3
50,51,4.0,2,1,3,3,3
51,52,3.0,4,2,3,3,4
52,53,4.0,3,1,2,3,3
53,54,1.0,4,3,2,3,3
54,55,3.0,1,3,3,3,2
55,56,4.0,1,4,1,4,2
56,57,2.0,4,4,1,3,3
57,58,3.0,3,1,3,3,2
58,59,4.0,3,3,2,3,4
59,60,3.0,1,4,2,3,2
60,61,4.0,4,2,3,3,4
61,62,2.0,1,3,3,3,3
62,63,2.0,2,4,1,3,3
63,64,3.0,3,4,3,4,1
64,65,4.0,4,3,3,3,3
65,66,3.0,2,3,2,3,3
66,67,4.0,3,4,4,3,3
67,68,4.0,2,4,3,4,3
68,69,4.0,2,3,4,4,3
69,70,3.0,4,4,3,3,4
70,71,3.0,4,3,3,3,3
71,72,4.0,3,1,2,3,3
72,73,3.0,2,3,2,3,3
73,74,4.0,4,4,3,3,3
74,75,2.0,4,2,4,3,3
75,76,3.0,3,2,2,3,3
76,77,4.0,3,2,2,3,3
77,78,3.0,1,4,4,4,3
78,79,3.0,1,4,2,3,3
79,80,4.0,3,3,3,3,2
80,81,3.0,4,1,2,3,3
81,82,4.0,4,4,3,3,2
82,83,1.0,3,3,3,3,2
83,84,2.0,4,4,3,3,3
84,85,4.0,3,1,3,3,3
85,86,4.0,2,2,3,3,3
86,87,3.0,1,4,4,3,2
87,88,3.0,2,4,2,3,3
88,89,1.0,3,2,2,3,3
89,90,2.0,2,1,3,3,1
90,91,4.0,2,3,2,3,3
91,92,4.0,1,2,2,3,3
92,93,3.0,3,3,4,3,3
93,94,3.0,3,3,3,3,2
94,95,1.0,4,4,3,4,3
95,96,2.0,4,3,2,3,3
96,97,1.0,2,4,3,3,3
97,98,3.0,3,2,3,3,2
98,99,1.0,1,2,1,3,3
99,100,4.0,1,2,3,3,2
100,101,2.0,2,3,3,4,3
101,102,3.0,1,3,2,4,3
102,103,2.0,3,4,2,3,3
103,104,1.0,4,2,3,3,3
104,105,4.0,4,2,2,3,3
105,106,3.0,2,4,2,3,3
106,107,4.0,3,4,3,3,3
107,108,2.0,3,1,4,3,3
108,109,3.0,3,1,2,3,2
109,110,3.0,4,4,3,3,1
110,111,2.0,3,2,3,3,3
111,112,2.0,3,4,3,3,3
112,113,3.0,3,1,3,3,3
113,114,4.0,3,3,2,3,2
114,115,2.0,4,2,2,3,1
115,116,4.0,2,1,2,3,3
116,117,3.0,3,2,3,3,2
117,118,1.0,1,1,3,3,3
118,119,3.0,4,1,3,3,3
119,120,3.0,1,3,2,4,3
120,121,3.0,1,4,2,3,3
121,122,4.0,1,4,3,3,3
122,123,4.0,3,3,2,3,3
123,124,3.0,3,4,3,3,2
124,125,1.0,1,4,2,3,3
125,126,2.0,2,3,2,3,3
126,127,1.0,4,2,3,4,3
127,128,2.0,3,3,3,3,3
128,129,4.0,4,1,3,4,2
129,130,4.0,2,1,3,3,3
130,131,4.0,3,3,2,3,3
131,132,2.0,4,4,3,3,2
132,133,4.0,3,4,3,3,2
133,134,3.0,4,3,3,3,4
134,135,4.0,3,4,3,3,3
135,136,1.0,3,2,3,3,2
136,137,4.0,2,4,3,3,3
137,138,3.0,1,3,2,3,2
138,139,1.0,4,3,3,3,3
139,140,1.0,1,4,3,4,3
140,141,4.0,2,1,3,3,2
141,142,4.0,3,1,2,4,3
142,143,4.0,1,2,3,4,3
