,age,dailyrate,distancefromhome,education,employeecount,employeenumber,environmentsatisfaction,hourlyrate,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,numberchildren,is_equal
0,51,201.57,6,3,1,1,1.0,25.2,3,5,3,16280.83,4233.02,7,13,3.0,3,0,,5,3.0,20,,15,15,16280.83,1972,195370.0,,True
1,52,206.34,1,4,1,2,3.0,25.79,2,5,3,16665.83,4333.12,0,14,3.0,1,1,34.0,5,3.0,33,,11,9,,1971,199990.0,,
2,42,198.43,4,2,1,3,3.0,24.8,3,5,4,16026.67,4166.93,1,11,3.0,4,0,22.0,3,,22,,11,15,,1981,192320.0,,
3,47,177.14,2,4,1,4,1.0,22.14,3,4,3,14307.5,3719.95,3,19,3.0,2,2,,2,,20,,5,6,14307.5,1976,171690.0,,True
4,46,158.28,3,3,1,5,1.0,19.78,4,4,1,12783.92,3323.82,2,12,3.0,4,1,,5,3.0,19,,2,8,12783.92,1977,153407.04,,
5,48,177.19,22,3,1,6,4.0,22.15,3,4,4,14311.67,3721.03,3,11,3.0,2,1,,3,3.0,22,,4,7,14311.67,1975,171740.04,,
6,59,103.25,25,3,1,7,1.0,12.91,3,3,1,8339.32,2168.22,7,11,3.0,4,0,28.0,3,2.0,21,,7,9,8339.32,1964,100071.84,,True
7,42,55.63,1,1,1,8,2.0,6.95,3,2,3,4492.84,1168.14,1,25,4.0,3,0,20.0,3,3.0,20,,11,6,,1981,53914.11,,
8,41,171.22,2,5,1,9,2.0,21.4,3,4,1,13829.17,3595.58,7,16,3.0,2,1,22.0,2,3.0,18,,11,8,13829.17,1982,165950.0,,True
9,41,197.4,9,3,1,10,1.0,24.67,3,5,3,15943.72,4145.37,2,17,3.0,2,1,21.0,2,4.0,18,,0,11,15943.72,1982,191324.63999999998,,
10,41,206.07,7,1,1,11,2.0,25.76,1,5,3,16644.17,4327.48,1,22,4.0,2,2,,3,3.0,21,,5,10,16644.17,1982,199730.0,,True
11,56,138.27,23,3,1,12,4.0,17.28,3,4,2,11168.33,2903.77,4,12,,1,1,33.0,0,3.0,19,,15,9,,1967,134020.0,,
12,38,136.25,10,3,1,13,2.0,17.03,1,3,3,11005.0,2861.3,3,12,3.0,1,1,,3,3.0,18,,1,11,,1985,132060.0,,
13,41,201.65,12,3,1,14,2.0,25.21,3,5,3,16287.5,4234.75,1,12,3.0,4,0,,0,3.0,22,,15,8,,1982,195450.0,,
14,55,197.4,14,4,1,15,3.0,24.67,4,5,2,15943.72,4145.37,8,11,3.0,4,0,,3,3.0,24,,2,15,15943.72,1968,191324.63999999998,,
15,40,186.14,2,4,1,16,3.0,23.27,3,5,3,15034.17,3908.88,0,14,3.0,4,0,,2,3.0,20,,1,12,15034.17,1983,180410.0,,True
16,58,198.57,2,4,1,17,4.0,24.82,3,5,2,16038.33,4169.97,7,12,3.0,4,0,40.0,2,3.0,31,,13,8,16038.33,1965,192460.0,,True
17,46,158.28,2,3,1,18,3.0,19.78,3,4,1,12783.92,3323.82,8,23,4.0,1,0,28.0,2,3.0,26,,15,9,12783.92,1977,153407.04,,
18,35,55.63,13,5,1,19,2.0,6.95,4,2,1,4492.84,1168.14,1,11,3.0,4,0,,2,3.0,16,,1,10,4492.84,1988,53914.08,,
19,40,103.25,15,3,1,20,1.0,12.91,2,3,3,8339.32,2168.22,1,13,3.0,4,2,18.0,2,,18,,14,12,8339.32,1983,100071.84,,
20,45,110.89,1,1,1,21,3.0,13.86,2,3,3,8956.67,2328.73,3,23,4.0,4,1,25.0,3,2.0,23,,14,4,8956.67,1978,107480.0,,True
21,33,103.25,1,2,1,22,1.0,12.91,3,3,4,8339.32,2168.22,1,12,3.0,3,0,15.0,1,3.0,15,,8,12,,1990,100071.84,,
22,36,103.25,8,3,1,23,3.0,12.91,3,3,3,8339.32,2168.22,1,13,,2,3,17.0,2,3.0,17,,12,8,,1987,100071.84,,
23,47,172.84,2,2,1,24,3.0,21.6,3,4,4,13960.0,3629.6,1,11,3.0,3,1,,3,2.0,26,,3,0,,1976,167520.0,,
24,36,63.98,42,2,1,25,4.0,8.0,3,2,4,5167.5,1343.55,1,14,3.0,4,1,18.0,1,,18,,4,11,5167.5,1987,62010.0,,True
