,age,dailyrate,distancefromhome,education,employeecount,employeenumber,environmentsatisfaction,hourlyrate,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,numberchildren,is_equal
0,51,2015.7222222222224,6,3,1,1,1,251.9652777777778,3,5,3,16280.83,42330.17,7,13,3.0,3,0,,5,3.0,20,,15,15,16280.83,1972,195370.0,,True
1,52,2063.3888888888887,1,4,1,2,1,257.9236111111111,2,5,3,16665.83,43331.17,0,14,3.0,1,1,34.0,5,3.0,33,,11,9,,1971,199990.0,,
2,42,1984.253968253968,4,2,1,3,1,248.031746031746,3,5,4,16026.67,41669.33,1,11,3.0,4,0,22.0,3,,22,,11,15,,1981,192320.0,,
3,47,1771.4047619047622,2,4,1,4,1,221.42559523809527,3,4,3,14307.5,37199.5,3,19,3.0,2,2,,2,,20,,5,6,14307.5,1976,171690.0,,True
4,46,1582.7713464696226,3,3,1,5,1,197.84641830870282,4,4,1,12783.92,33238.2,2,12,3.0,4,1,,5,3.0,19,,2,8,12783.92,1977,153407.04,,
5,48,1771.920634920635,22,3,1,6,1,221.49007936507937,3,4,4,14311.67,37210.33,3,11,3.0,2,1,,3,3.0,22,,4,7,14311.67,1975,171740.04,,
6,59,1032.4872861766066,25,3,1,7,1,129.06091077207583,3,3,1,8339.32,21682.23,7,11,3.0,4,0,28.0,3,2.0,21,,7,9,8339.32,1964,100071.84,,True
7,42,556.2566609977324,1,1,1,8,1,69.53208262471655,3,2,3,4492.84,11681.39,1,25,4.0,3,0,20.0,3,3.0,20,,11,6,,1981,53914.11,,
8,41,1712.1825396825398,2,5,1,9,1,214.02281746031747,3,4,1,13829.17,35955.83,7,16,3.0,2,1,22.0,2,3.0,18,,11,8,13829.17,1982,165950.0,,True
9,41,1973.9841269841268,9,3,1,10,1,246.74801587301585,3,5,3,15943.72,41453.67,2,17,3.0,2,1,21.0,2,4.0,18,,0,11,15943.72,1982,191324.63999999998,,
