,attrition,businesstravel,department,educationfield,gender,jobrole,overtime,remotework,age,distancefromhome,education,employeenumber,environmentsatisfaction,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,salary
0,No,,,,M, research director ,No,yes,51,6,3,1,1.0,3,5,3,16280.83,4233.02,7,13,3.0,3,0,5,3.0,20,15,15,195370.0
1,No,,,Life Sciences,M, manager ,,yes,52,1,4,2,3.0,2,5,3,16665.83,4333.12,0,14,3.0,1,1,5,3.0,33,11,9,199990.0
2,No,travel rarely, Research & Development ,Technical Degree,M, manager ,No,yes,42,4,2,3,3.0,3,5,4,16026.67,4166.93,1,11,3.0,4,0,3,,22,11,15,192320.0
3,No,travel rarely,,Medical,F, research director ,,no,47,2,4,4,1.0,3,4,3,14307.5,3719.95,3,19,3.0,2,2,2,,20,5,6,171690.0
4,No,,,Technical Degree,F, sales executive ,No,no,46,3,3,5,1.0,4,4,1,12783.92,3323.82,2,12,3.0,4,1,5,3.0,19,2,8,153407.04
5,No,, Research & Development ,Medical,F, manager ,No,yes,48,22,3,6,4.0,3,4,4,14311.67,3721.03,3,11,3.0,2,1,3,3.0,22,4,7,171740.04
6,No,,,Life Sciences,F, sales executive ,,yes,59,25,3,7,1.0,3,3,1,8339.32,2168.22,7,11,3.0,4,0,3,2.0,21,7,9,100071.84
7,No,travel rarely,,,M, sales executive ,No,no,42,1,1,8,2.0,3,2,3,4492.84,1168.14,1,25,4.0,3,0,3,3.0,20,11,6,53914.11
8,No,,,,F, manager ,No,yes,41,2,5,9,2.0,3,4,1,13829.17,3595.58,7,16,3.0,2,1,2,3.0,18,11,8,165950.0
9,No,travel frequently,,,M, research director ,No,no,41,9,3,10,1.0,3,5,3,15943.72,4145.37,2,17,3.0,2,1,2,4.0,18,0,11,191324.64
10,No,non travel,,,F, research director ,No,no,41,7,1,11,2.0,1,5,3,16644.17,4327.48,1,22,4.0,2,2,3,3.0,21,5,10,199730.0
11,No,travel rarely,,Life Sciences,M, manufacturing director ,Yes,no,56,23,3,12,4.0,3,4,2,11168.33,2903.77,4,12,,1,1,0,3.0,19,15,9,134020.0
12,No,,,Medical,F, research director ,No,yes,38,10,3,13,2.0,1,3,3,11005.0,2861.3,3,12,3.0,1,1,3,3.0,18,1,11,132060.0
13,Yes,travel rarely,,,F, research director ,No,no,41,12,3,14,2.0,3,5,3,16287.5,4234.75,1,12,3.0,4,0,0,3.0,22,15,8,195450.0
14,No,,,Medical,M, research director ,No,yes,55,14,4,15,3.0,4,5,2,15943.72,4145.37,8,11,3.0,4,0,3,3.0,24,2,15,191324.64
15,No,travel rarely,,,F, manager ,No,no,40,2,4,16,3.0,3,5,3,15034.17,3908.88,0,14,3.0,4,0,2,3.0,20,1,12,180410.0
16,Yes,travel rarely,,,M, research director ,Yes,no,58,2,4,17,4.0,3,5,2,16038.33,4169.97,7,12,3.0,4,0,2,3.0,31,13,8,192460.0
17,No,travel rarely,,,F, manager ,,no,46,2,3,18,3.0,3,4,1,12783.92,3323.82,8,23,4.0,1,0,2,3.0,26,15,9,153407.04
18,No,,,Life Sciences,M, research scientist ,,no,35,13,5,19,2.0,4,2,1,4492.84,1168.14,1,11,3.0,4,0,2,3.0,16,1,10,53914.08
19,No,travel rarely,,Life Sciences,F, manufacturing director ,,yes,40,15,3,20,1.0,2,3,3,8339.32,2168.22,1,13,3.0,4,2,2,,18,14,12,100071.84
20,No,non travel, Research & Development ,,M, healthcare representative ,,no,45,1,1,21,3.0,2,3,3,8956.67,2328.73,3,23,4.0,4,1,3,2.0,23,14,4,107480.0
21,No,,,Life Sciences,F, research director ,Yes,yes,33,1,2,22,1.0,3,3,4,8339.32,2168.22,1,12,3.0,3,0,1,3.0,15,8,12,100071.84
22,No,,,,F, healthcare representative ,,yes,36,8,3,23,3.0,3,3,3,8339.32,2168.22,1,13,,2,3,2,3.0,17,12,8,100071.84
23,No,,,Other,F, manager ,,no,47,2,2,24,3.0,3,4,4,13960.0,3629.6,1,11,3.0,3,1,3,2.0,26,3,0,167520.0
24,No,travel rarely,,Life Sciences,M, sales executive ,,yes,36,42,2,25,4.0,3,2,4,5167.5,1343.55,1,14,3.0,4,1,1,,18,4,11,62010.0
25,No,,,Life Sciences,F, manufacturing director ,Yes,no,35,9,3,26,4.0,2,3,3,8339.32,2168.22,1,20,4.0,2,1,2,3.0,17,5,15,100071.84
26,Yes,,,,F, manager ,No,yes,52,2,1,27,1.0,1,5,4,16537.5,4299.75,1,15,3.0,4,1,3,3.0,32,6,9,198450.0
27,No,,,Life Sciences,F, manufacturing director ,Yes,no,36,2,4,28,3.0,3,2,2,4492.84,1168.14,9,11,3.0,4,0,2,3.0,16,5,12,53914.11
28,No,travel rarely,,Life Sciences,M, laboratory technician ,,yes,33,28,4,29,2.0,3,2,3,4492.84,1168.14,1,12,3.0,2,1,3,3.0,15,5,7,53914.11
