,attrition,businesstravel,department,educationfield,gender,jobrole,overtime,remotework,age,distancefromhome,education,employeenumber,environmentsatisfaction,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,salary
0,No,,,,M, research director ,No,yes,51,6,3,1,1,3,5,3,16280.83,42330.17,7,13,3.0,3,0,5,3.0,20,15,15,195370.0
1,No,,,Life Sciences,M, manager ,,yes,52,1,4,2,1,2,5,3,16665.83,43331.17,0,14,3.0,1,1,5,3.0,33,11,9,199990.0
2,No,travel rarely, Research & Development ,Technical Degree,M, manager ,No,yes,42,4,2,3,1,3,5,4,16026.67,41669.33,1,11,3.0,4,0,3,,22,11,15,192320.0
3,No,travel rarely,,Medical,F, research director ,,no,47,2,4,4,1,3,4,3,14307.5,37199.5,3,19,3.0,2,2,2,,20,5,6,171690.0
4,No,,,Technical Degree,F, sales executive ,No,no,46,3,3,5,1,4,4,1,12783.92,33238.2,2,12,3.0,4,1,5,3.0,19,2,8,153407.04
5,No,, Research & Development ,Medical,F, manager ,No,yes,48,22,3,6,1,3,4,4,14311.67,37210.33,3,11,3.0,2,1,3,3.0,22,4,7,171740.04
6,No,,,Life Sciences,F, sales executive ,,yes,59,25,3,7,1,3,3,1,8339.32,21682.23,7,11,3.0,4,0,3,2.0,21,7,9,100071.84
7,No,travel rarely,,,M, sales executive ,No,no,42,1,1,8,1,3,2,3,4492.84,11681.39,1,25,4.0,3,0,3,3.0,20,11,6,53914.11
8,No,,,,F, manager ,No,yes,41,2,5,9,1,3,4,1,13829.17,35955.83,7,16,3.0,2,1,2,3.0,18,11,8,165950.0
9,No,travel frequently,,,M, research director ,No,no,41,9,3,10,1,3,5,3,15943.72,41453.67,2,17,3.0,2,1,2,4.0,18,0,11,191324.64
10,No,non travel,,,F, research director ,No,no,41,7,1,11,1,1,5,3,16644.17,43274.83,1,22,4.0,2,2,3,3.0,21,5,10,199730.0
11,No,travel rarely,,Life Sciences,M, manufacturing director ,Yes,no,56,23,3,12,1,3,4,2,11168.33,29037.67,4,12,,1,1,0,3.0,19,15,9,134020.0
12,No,,,Medical,F, research director ,No,yes,38,10,3,13,1,1,3,3,11005.0,28613.0,3,12,3.0,1,1,3,3.0,18,1,11,132060.0
13,Yes,travel rarely,,,F, research director ,No,no,41,12,3,14,1,3,5,3,16287.5,42347.5,1,12,3.0,4,0,0,3.0,22,15,8,195450.0
14,No,,,Medical,M, research director ,No,yes,55,14,4,15,1,4,5,2,15943.72,41453.67,8,11,3.0,4,0,3,3.0,24,2,15,191324.64
15,No,travel rarely,,,F, manager ,No,no,40,2,4,16,1,3,5,3,15034.17,39088.83,0,14,3.0,4,0,2,3.0,20,1,12,180410.0
16,Yes,travel rarely,,,M, research director ,Yes,no,58,2,4,17,1,3,5,2,16038.33,41699.67,7,12,3.0,4,0,2,3.0,31,13,8,192460.0
17,No,travel rarely,,,F, manager ,,no,46,2,3,18,1,3,4,1,12783.92,33238.2,8,23,4.0,1,0,2,3.0,26,15,9,153407.04
18,No,,,Life Sciences,M, research scientist ,,no,35,13,5,19,1,4,2,1,4492.84,11681.39,1,11,3.0,4,0,2,3.0,16,1,10,53914.08
19,No,travel rarely,,Life Sciences,F, manufacturing director ,,yes,40,15,3,20,1,2,3,3,8339.32,21682.23,1,13,3.0,4,2,2,,18,14,12,100071.84
20,No,non travel, Research & Development ,,M, healthcare representative ,,no,45,1,1,21,1,2,3,3,8956.67,23287.33,3,23,4.0,4,1,3,2.0,23,14,4,107480.0
21,No,,,Life Sciences,F, research director ,Yes,yes,33,1,2,22,1,3,3,4,8339.32,21682.23,1,12,3.0,3,0,1,3.0,15,8,12,100071.84
22,No,,,,F, healthcare representative ,,yes,36,8,3,23,1,3,3,3,8339.32,21682.23,1,13,,2,3,2,3.0,17,12,8,100071.84
23,No,,,Other,F, manager ,,no,47,2,2,24,1,3,4,4,13960.0,36296.0,1,11,3.0,3,1,3,2.0,26,3,0,167520.0
24,No,travel rarely,,Life Sciences,M, sales executive ,,yes,36,42,2,25,4,3,2,4,5167.5,13435.5,1,14,3.0,4,1,1,,18,4,11,62010.0
25,No,,,Life Sciences,F, manufacturing director ,Yes,no,35,9,3,26,1,2,3,3,8339.32,21682.23,1,20,4.0,2,1,2,3.0,17,5,15,100071.84
26,Yes,,,,F, manager ,No,yes,52,2,1,27,1,1,5,4,16537.5,42997.5,1,15,3.0,4,1,3,3.0,32,6,9,198450.0
27,No,,,Life Sciences,F, manufacturing director ,Yes,no,36,2,4,28,1,3,2,2,4492.84,11681.39,9,11,3.0,4,0,2,3.0,16,5,12,53914.11
28,No,travel rarely,,Life Sciences,M, laboratory technician ,,yes,33,28,4,29,1,3,2,3,4492.84,11681.39,1,12,3.0,2,1,3,3.0,15,5,7,53914.11
29,No,non travel, Sales ,Life Sciences,M, sales executive ,Yes,yes,34,10,3,30,1,3,2,3,3334.17,8668.83,1,14,3.0,3,1,3,3.0,15,0,7,40010.0
30,No,, Sales ,,F, sales executive ,,yes,41,37,1,31,3,3,3,3,8705.83,22635.17,0,13,3.0,4,1,3,4.0,22,13,5,104470.0
31,No,, Research & Development ,Medical,M, healthcare representative ,,yes,47,25,3,32,1,3,3,3,8339.32,21682.23,2,23,4.0,2,0,3,3.0,17,12,11,100071.84
32,No,travel rarely,,,F, manager ,,yes,53,5,3,33,1,3,5,3,15943.72,41453.67,4,11,3.0,4,1,3,2.0,14,4,8,191324.62
33,No,,,Marketing,M, sales executive ,No,no,35,1,4,34,1,2,2,1,4492.84,11681.39,0,14,,2,0,2,3.0,15,2,8,53914.11
34,No,travel rarely,,Other,F, research scientist ,,yes,34,6,4,35,1,3,2,3,4492.84,11681.39,1,14,3.0,3,0,3,3.0,16,2,10,53914.08
35,No,travel rarely,,,F, sales executive ,No,yes,46,1,2,36,1,3,3,1,8339.32,21682.23,1,25,4.0,3,3,2,3.0,24,15,7,100071.84
36,No,,,,F, manager ,,yes,43,16,3,37,1,3,4,4,13386.67,34805.33,5,22,4.0,3,1,3,3.0,17,1,9,160640.0
37,No,, Research & Development ,Life Sciences,M, laboratory technician ,,yes,36,6,3,38,1,3,1,4,2675.0,6955.0,0,11,3.0,3,1,4,3.0,15,10,11,32100.0
38,No,travel frequently,,,F, sales executive ,No,yes,60,28,3,39,1,2,3,1,8555.0,22243.0,4,19,3.0,4,0,5,4.0,18,13,11,102660.0
39,No,travel frequently,,,M, sales executive ,Yes,no,40,5,4,40,1,2,3,1,8729.17,22695.83,5,21,4.0,3,1,2,3.0,18,1,12,104750.0
40,No,travel rarely,,,F, manufacturing director ,No,no,32,4,3,41,1,2,2,3,5135.0,13351.0,1,12,3.0,3,1,3,3.0,14,6,8,61620.0
41,No,travel rarely,,,M, laboratory technician ,Yes,yes,41,35,3,42,3,3,1,1,3934.17,10228.83,2,13,,3,0,3,3.0,18,2,17,47210.0
42,No,,,Medical,M, manager ,No,no,53,2,2,43,1,3,4,3,12783.92,33238.2,6,13,3.0,3,1,3,4.0,17,15,2,153407.07
43,Yes,travel rarely,,,F, laboratory technician ,,yes,36,16,4,44,1,4,1,1,2342.59,6090.75,1,16,3.0,3,0,1,3.0,17,15,14,28111.13
44,No,,,Life Sciences,F, research scientist ,Yes,no,46,8,4,45,1,2,2,1,3845.83,9999.17,8,23,4.0,1,3,2,3.0,16,1,7,46150.0
45,No,travel rarely,,,M, sales executive ,No,yes,38,1,4,46,1,3,2,2,4492.84,11681.39,0,15,3.0,1,2,3,,15,5,8,53914.11
46,No,,,,F, healthcare representative ,,yes,51,1,4,47,1,2,3,1,8339.32,21682.23,3,20,4.0,3,0,1,2.0,13,12,8,100071.84
47,No,,,,M, manager ,Yes,yes,43,26,2,48,1,3,4,4,14132.5,36744.5,1,12,3.0,4,2,3,4.0,25,4,12,169590.0
48,No,,,Life Sciences,F, research scientist ,No,yes,37,1,3,49,1,3,1,4,2342.59,6090.75,1,12,3.0,2,0,3,3.0,17,5,7,28111.13
49,No,travel rarely,,Technical Degree,F, sales executive ,Yes,yes,32,8,2,50,1,2,2,2,4492.84,11681.39,1,11,3.0,4,0,2,3.0,13,11,9,53914.11
50,No,,,,F, research director ,,no,38,1,3,51,1,3,3,1,8339.32,21682.23,1,13,3.0,2,1,3,3.0,15,5,11,100071.84
51,No,,,Life Sciences,F, manager ,No,yes,46,3,3,52,1,3,4,2,12783.92,33238.2,8,12,3.0,4,1,2,4.0,13,5,1,153407.07
52,Yes,travel rarely,,Medical,M, sales executive ,,no,35,10,3,53,1,2,3,1,8588.33,22329.67,9,17,3.0,3,0,3,,13,6,0,103059.96
53,No,,,Medical,F, manager ,No,yes,43,6,3,54,1,2,5,3,15943.72,41453.67,7,13,3.0,4,0,2,3.0,16,6,14,191324.64
54,No,non travel,,Life Sciences,M, healthcare representative ,No,yes,56,1,4,55,1,3,2,3,4492.84,11681.39,1,21,,1,1,2,2.0,13,1,9,53914.08
55,No,non travel,,Marketing,M, sales executive ,No,yes,36,15,4,56,1,1,2,4,4505.0,11713.0,1,24,4.0,1,1,4,2.0,15,11,11,54060.0
56,No,,,Medical,F, research scientist ,,yes,38,6,3,57,1,1,2,4,4492.84,11681.39,7,12,3.0,4,3,3,3.0,13,1,9,53914.11
57,No,,,Medical,F, manufacturing director ,No,no,49,26,4,58,1,3,2,1,4492.84,11681.39,1,14,3.0,3,0,2,2.0,15,5,11,53914.11
58,No,travel rarely,,Life Sciences,F, sales executive ,,yes,39,4,4,59,1,2,2,3,4918.33,12787.67,4,14,3.0,3,1,1,4.0,15,5,9,59020.0
59,No,,,,M, sales executive ,No,yes,40,4,4,60,1,2,3,4,9045.83,23519.17,7,11,,1,1,2,2.0,12,2,11,108550.0
60,No,,,,M, laboratory technician ,No,yes,36,5,2,61,1,3,2,2,4928.33,12813.67,8,16,3.0,4,0,3,4.0,13,3,7,59140.0
61,No,,,,F, research scientist ,Yes,no,37,25,5,62,1,3,2,3,4492.84,11681.39,3,15,3.0,1,2,2,3.0,13,10,7,53914.11
62,No,,,,M, research scientist ,,yes,35,6,4,63,1,1,2,4,5538.33,14399.67,1,13,3.0,2,0,3,3.0,17,11,8,66460.0
63,No,travel frequently,,Life Sciences,M, healthcare representative ,No,no,33,6,3,64,1,3,2,4,4492.84,11681.39,3,23,4.0,3,1,2,1.0,13,4,7,53914.11
64,No,travel rarely, Research & Development ,,M, manufacturing director ,Yes,no,50,24,3,65,1,3,4,3,11644.17,30274.83,3,18,3.0,4,1,2,3.0,12,1,5,139730.0
65,No,travel rarely,,,M, healthcare representative ,,yes,48,4,4,66,1,2,3,3,8339.32,21682.23,7,14,,2,0,3,3.0,15,4,8,100071.84
66,No,travel rarely, Sales ,,F, sales executive ,,yes,44,28,3,67,1,4,4,4,11100.0,28860.0,3,18,3.0,3,1,2,3.0,12,11,11,133200.0
67,No,travel rarely,,,M, research scientist ,,yes,44,29,4,68,1,3,2,4,4492.84,11681.39,1,25,4.0,2,0,3,3.0,20,13,17,53914.11
68,No,,,,F, healthcare representative ,No,yes,40,25,1,69,2,4,2,3,4492.84,11681.39,5,20,4.0,2,3,0,3.0,12,11,8,53914.11
69,No,travel rarely,,,F, healthcare representative ,,yes,34,2,4,70,1,3,2,4,5572.5,14488.5,1,11,3.0,4,0,2,4.0,14,4,11,66870.0
70,No,non travel, Research & Development ,,F, healthcare representative ,,yes,35,8,4,71,1,3,2,3,4492.84,11681.39,1,12,3.0,4,1,5,3.0,14,2,9,53914.11
71,No,,,Life Sciences,F, research director ,No,no,50,17,5,72,1,2,3,1,8339.32,21682.23,5,15,3.0,3,3,3,3.0,14,1,11,100071.84
72,No,,,Life Sciences,F, healthcare representative ,,yes,49,6,1,73,1,2,4,3,12783.92,33238.2,2,19,3.0,2,1,3,3.0,15,2,12,153407.07
73,No,travel frequently,,Life Sciences,M, research scientist ,No,yes,38,1,3,74,1,3,2,4,3945.83,10259.17,7,15,3.0,4,2,4,,13,2,9,47350.0
