,employeenumber,attrition,businesstravel,jobrole,department,joblevel,overtime,remotework,distancefromhome,numcompaniesworked,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,stockoptionlevel
0,1,no,non travel, research director ,unknown,5,no,yes,6,7,5,20,15,15,0
1,2,no,non travel, manager ,unknown,5,no,yes,1,0,5,33,11,9,1
2,3,no,travel rarely, manager , research & development ,5,no,yes,4,1,3,22,11,15,0
3,4,no,travel rarely, research director ,unknown,4,no,no,2,3,2,20,5,6,2
4,5,no,non travel, sales executive ,unknown,4,no,no,3,2,5,19,2,8,1
5,6,no,non travel, manager , research & development ,4,no,yes,22,3,3,22,4,7,1
6,7,no,non travel, sales executive ,unknown,3,no,yes,25,7,3,21,7,9,0
7,8,no,travel rarely, sales executive ,unknown,2,no,no,1,1,3,20,11,6,0
8,9,no,non travel, manager ,unknown,4,no,yes,2,7,2,18,11,8,1
9,10,no,travel frequently, research director ,unknown,5,no,no,9,2,2,18,0,11,1
10,11,no,non travel, research director ,unknown,5,no,no,7,1,3,21,5,10,2
11,12,no,travel rarely, manufacturing director ,unknown,4,yes,no,23,4,0,19,15,9,1
12,13,no,non travel, research director ,unknown,3,no,yes,10,3,3,18,1,11,1
13,14,yes,travel rarely, research director ,unknown,5,no,no,12,1,0,22,15,8,0
14,15,no,non travel, research director ,unknown,5,no,yes,14,8,3,24,2,15,0
15,16,no,travel rarely, manager ,unknown,5,no,no,2,0,2,20,1,12,0
16,17,yes,travel rarely, research director ,unknown,5,yes,no,2,7,2,31,13,8,0
17,18,no,travel rarely, manager ,unknown,4,no,no,2,8,2,26,15,9,0
18,19,no,non travel, research scientist ,unknown,2,no,no,13,1,2,16,1,10,0
19,20,no,travel rarely, manufacturing director ,unknown,3,no,yes,15,1,2,18,14,12,2
20,21,no,non travel, healthcare representative , research & development ,3,no,no,1,3,3,23,14,4,1
21,22,no,non travel, research director ,unknown,3,yes,yes,1,1,1,15,8,12,0
22,23,no,non travel, healthcare representative ,unknown,3,no,yes,8,1,2,17,12,8,3
23,24,no,non travel, manager ,unknown,4,no,no,2,1,3,26,3,0,1
24,25,no,travel rarely, sales executive ,unknown,2,no,yes,42,1,1,18,4,11,1
