,age,dailyrate,distancefromhome,education,employeecount,employeenumber,environmentsatisfaction,hourlyrate,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,numberchildren
0,51,2015.7222222222224,6,3,1,1,1,,3,5,3,16280.83,42330.17,7,13,3.0,3,0,,5,3.0,20,,15,15,16280.83,1972,195370.0,
1,52,2063.3888888888887,1,4,1,2,3,,2,5,3,,43331.17,0,14,3.0,1,1,34.0,5,3.0,33,,11,9,,1971,199990.0,
2,42,1984.253968253968,4,2,1,3,3,,3,5,4,,41669.33,1,11,3.0,4,0,22.0,3,,22,,11,15,,1981,192320.0,
3,47,1771.4047619047622,2,4,1,4,1,,3,4,3,14307.5,37199.5,3,19,3.0,2,2,,2,,20,,5,6,14307.5,1976,171690.0,
4,46,1582.7713464696226,3,3,1,5,1,,4,4,1,12783.92,33238.2,2,12,3.0,4,1,,5,3.0,19,,2,8,12783.92,1977,,
5,48,1771.920634920635,22,3,1,6,4,,3,4,4,14311.67,37210.33,3,11,3.0,2,1,,3,3.0,22,,4,7,14311.67,1975,,
6,59,1032.4872861766066,25,3,1,7,1,,3,3,1,8339.32,21682.23,7,11,3.0,4,0,28.0,3,2.0,21,,7,9,8339.32,1964,100071.84,
7,42,556.2566609977324,1,1,1,8,2,69.53208262471655,3,2,3,,11681.39,1,25,4.0,3,0,20.0,3,3.0,20,,11,6,,1981,53914.11,
8,41,1712.1825396825398,2,5,1,9,2,,3,4,1,13829.17,35955.83,7,16,3.0,2,1,22.0,2,3.0,18,,11,8,13829.17,1982,165950.0,
9,41,1973.9841269841268,9,3,1,10,1,,3,5,3,15943.72,41453.67,2,17,3.0,2,1,21.0,2,4.0,18,,0,11,15943.72,1982,,
10,41,2060.7063492063494,7,1,1,11,2,,1,5,3,16644.17,43274.83,1,22,4.0,2,2,,3,3.0,21,,5,10,16644.17,1982,199730.0,
11,56,1382.7460317460318,23,3,1,12,4,172.84325396825398,3,4,2,,29037.67,4,12,,1,1,33.0,0,3.0,19,,15,9,,1967,134020.0,
12,38,1362.5238095238096,10,3,1,13,2,,1,3,3,,28613.0,3,12,3.0,1,1,,3,3.0,18,,1,11,,1985,132060.0,
13,41,2016.547619047619,12,3,1,14,2,,3,5,3,,42347.5,1,12,3.0,4,0,,0,3.0,22,,15,8,,1982,195450.0,
14,55,1973.9841269841268,14,4,1,15,3,,4,5,2,15943.72,41453.67,8,11,3.0,4,0,,3,3.0,24,,2,15,15943.72,1968,,
15,40,1861.373015873016,2,4,1,16,3,,3,5,3,15034.17,39088.83,0,14,3.0,4,0,,2,3.0,20,,1,12,15034.17,1983,180410.0,
16,58,1985.6984126984123,2,4,1,17,4,,3,5,2,16038.33,41699.67,7,12,3.0,4,0,40.0,2,3.0,31,,13,8,16038.33,1965,192460.0,
17,46,1582.7713464696226,2,3,1,18,3,,3,4,1,12783.92,33238.2,8,23,4.0,1,0,28.0,2,3.0,26,,15,9,12783.92,1977,,
18,35,556.2566609977324,-13,5,1,19,2,,4,2,1,4492.84,11681.39,1,11,3.0,4,0,,2,3.0,16,,1,10,4492.84,1988,,
19,40,1032.4872861766066,15,3,1,20,1,,2,3,3,8339.32,21682.23,1,13,3.0,4,2,18.0,2,,18,,14,12,8339.32,1983,,
20,45,1108.920634920635,1,1,1,21,3,,2,3,3,8956.67,23287.33,3,23,4.0,4,1,25.0,3,2.0,23,,14,4,8956.67,1978,107480.0,
21,33,1032.4872861766066,1,2,1,22,1,,3,3,4,,21682.23,1,12,3.0,3,0,15.0,1,3.0,15,,8,12,,1990,100071.84,
22,36,1032.4872861766066,8,3,1,23,3,,3,3,3,,21682.23,1,13,,2,3,17.0,2,3.0,17,,12,8,,1987,100071.84,
23,47,1728.3809523809523,2,2,1,24,3,216.0476190476191,3,4,4,,36296.0,1,11,3.0,3,1,,3,2.0,26,,3,0,,1976,167520.0,
24,36,639.7857142857143,-42,2,1,25,42,79.97321428571429,3,2,4,5167.5,13435.5,1,14,3.0,4,1,18.0,1,,18,,4,11,5167.5,1987,62010.0,
25,35,1032.4872861766066,9,3,1,26,4,129.06091077207583,2,3,3,,21682.23,1,20,4.0,2,1,17.0,2,3.0,17,,5,15,,1988,100071.84,
26,52,2047.5,2,1,1,27,1,,1,5,4,,42997.5,1,15,3.0,4,1,33.0,3,3.0,32,,6,9,,1971,198450.0,
27,36,556.2566609977324,2,4,1,28,3,,3,2,2,4492.84,11681.39,9,11,3.0,4,0,18.0,2,3.0,16,,5,12,4492.84,1987,53914.11,
28,33,556.2566609977324,28,4,1,29,2,69.53208262471655,3,2,3,4492.84,11681.39,1,12,3.0,2,1,15.0,3,3.0,15,,5,7,4492.84,1990,53914.11,
29,34,412.8015873015873,10,3,1,30,4,,3,2,3,3334.17,8668.83,1,14,3.0,3,1,15.0,3,3.0,15,,0,7,3334.17,1989,40010.0,
30,41,1077.8650793650793,-37,1,1,31,37,,3,3,3,8705.83,22635.17,0,13,3.0,4,1,,3,4.0,22,,13,5,8705.83,1982,104470.0,
31,47,1032.4872861766066,25,3,1,32,1,,3,3,3,8339.32,21682.23,2,23,4.0,2,0,25.0,3,3.0,17,,12,11,8339.32,1976,,
32,53,1973.9841269841268,5,3,1,33,3,246.74801587301585,3,5,3,15943.72,41453.67,4,11,3.0,4,1,26.0,3,2.0,14,,4,8,15943.72,1970,191324.62,
33,35,556.2566609977324,1,4,1,34,3,69.53208262471655,2,2,1,4492.84,11681.39,0,14,,2,0,16.0,2,3.0,15,,2,8,4492.84,1988,53914.11,
34,34,556.2566609977324,6,4,1,35,1,,3,2,3,4492.84,11681.39,1,14,3.0,3,0,16.0,3,3.0,16,,2,10,4492.84,1989,,
35,46,1032.4872861766066,1,2,1,36,2,,3,3,1,8339.32,21682.23,1,25,4.0,3,3,24.0,2,3.0,24,,15,7,8339.32,1977,100071.84,
36,43,1657.3968253968255,16,3,1,37,4,207.1746031746032,3,4,4,,34805.33,5,22,4.0,3,1,22.0,3,3.0,17,,1,9,,1980,160640.0,
37,36,331.1904761904762,6,3,1,38,4,,3,1,4,2675.0,6955.0,0,11,3.0,3,1,16.0,4,3.0,15,,10,11,2675.0,1987,32100.0,
38,60,1059.1904761904764,28,3,1,39,3,,2,3,1,8555.0,22243.0,4,19,3.0,4,0,22.0,5,4.0,18,13.0,13,11,8555.0,1963,102660.0,
39,40,1080.7539682539684,5,4,1,40,4,,2,3,1,8729.17,22695.83,5,21,4.0,3,1,20.0,2,3.0,18,,1,12,8729.17,1983,104750.0,
40,32,635.7619047619048,4,3,1,41,3,,2,2,3,,13351.0,1,12,3.0,3,1,14.0,3,3.0,14,,6,8,,1991,61620.0,
41,41,487.0873015873016,-35,3,1,42,35,60.8859126984127,3,1,1,3934.17,10228.83,2,13,,3,0,20.0,3,3.0,18,,2,17,3934.17,1982,47210.0,
42,53,1582.7713464696226,2,2,1,43,3,,3,4,3,12783.92,33238.2,6,13,3.0,3,1,22.0,3,4.0,17,,15,2,12783.92,1970,153407.07,
43,36,290.03550973654063,16,4,1,44,3,36.25443871706758,4,1,1,,6090.75,1,16,3.0,3,0,18.0,1,3.0,17,,15,14,,1987,28111.13,
44,46,476.1507936507937,8,4,1,45,4,,2,2,1,3845.83,9999.17,8,23,4.0,1,3,,2,3.0,16,,1,7,3845.83,1977,46150.0,
45,38,556.2566609977324,1,4,1,46,4,,3,2,2,4492.84,11681.39,0,15,3.0,1,2,16.0,3,,15,,5,8,4492.84,1985,53914.11,
46,51,1032.4872861766066,1,4,1,47,1,,2,3,1,8339.32,21682.23,3,20,4.0,3,0,23.0,1,2.0,13,,12,8,8339.32,1972,100071.84,
47,43,1749.7380952380954,26,2,1,48,3,,3,4,4,14132.5,36744.5,1,12,3.0,4,2,25.0,3,4.0,25,,4,12,14132.5,1980,169590.0,
48,37,290.03550973654063,1,3,1,49,4,,3,1,4,,6090.75,1,12,3.0,2,0,,3,3.0,17,,5,7,,1986,28111.13,
49,32,556.2566609977324,8,2,1,50,3,,2,2,2,,11681.39,1,11,3.0,4,0,,2,3.0,13,12.0,11,9,,1991,53914.11,
50,38,1032.4872861766066,1,3,1,51,4,,3,3,1,8339.32,21682.23,1,13,3.0,2,1,15.0,3,3.0,15,,5,11,8339.32,1985,100071.84,
51,46,1582.7713464696226,3,3,1,52,3,,3,4,2,12783.92,33238.2,8,12,3.0,4,1,23.0,2,4.0,13,,5,1,12783.92,1977,153407.07,
52,35,1063.3174603174605,10,3,1,53,4,,2,3,1,8588.33,22329.67,9,17,3.0,3,0,15.0,3,,13,,6,0,8588.33,1988,,
53,43,1973.9841269841268,6,3,1,54,1,,2,5,3,15943.72,41453.67,7,13,3.0,4,0,21.0,2,3.0,16,,6,14,15943.72,1980,,
54,56,556.2566609977324,1,4,1,55,3,,3,2,3,4492.84,11681.39,1,21,,1,1,,2,2.0,13,,1,9,4492.84,1967,,
55,36,557.7619047619048,15,4,1,56,4,,1,2,4,4505.0,11713.0,1,24,4.0,1,1,,4,2.0,15,,11,11,4505.0,1987,54060.0,
56,38,556.2566609977324,6,3,1,57,2,,1,2,4,,11681.39,7,12,3.0,4,3,17.0,3,3.0,13,,1,9,,1985,53914.11,
57,49,556.2566609977324,-26,4,1,58,3,69.53208262471655,3,2,1,,11681.39,1,14,3.0,3,0,16.0,2,2.0,15,,5,11,,1974,53914.11,
58,39,608.936507936508,4,4,1,59,4,,2,2,3,4918.33,12787.67,4,14,3.0,3,1,17.0,1,4.0,15,,5,9,4918.33,1984,59020.0,
59,40,1119.9603174603176,4,4,1,60,3,139.9950396825397,2,3,4,,23519.17,7,11,,1,1,15.0,2,2.0,12,,2,11,,1983,108550.0,
60,36,610.1746031746031,5,2,1,61,4,,3,2,2,4928.33,12813.67,8,16,3.0,4,0,16.0,3,4.0,13,,3,7,4928.33,1987,59140.0,
61,37,556.2566609977324,25,5,1,62,2,,3,2,3,,11681.39,3,15,3.0,1,2,15.0,2,3.0,13,,10,7,,1986,53914.11,
62,35,685.6984126984128,6,4,1,63,2,,1,2,4,5538.33,14399.67,1,13,3.0,2,0,,3,3.0,17,,11,8,5538.33,1988,66460.0,
63,33,556.2566609977324,6,3,1,64,3,,3,2,4,4492.84,11681.39,3,23,4.0,3,1,15.0,2,1.0,13,,4,7,4492.84,1990,53914.11,
64,50,1441.65873015873,24,3,1,65,4,,3,4,3,,30274.83,3,18,3.0,4,1,22.0,2,3.0,12,,1,5,,1973,139730.0,
65,48,1032.4872861766066,4,4,1,66,3,,2,3,3,,21682.23,7,14,,2,0,27.0,3,3.0,15,11.0,4,8,,1975,100071.84,
66,44,1374.2857142857142,28,3,1,67,4,,4,4,4,11100.0,28860.0,3,18,3.0,3,1,,2,3.0,12,,11,11,11100.0,1979,,
67,44,556.2566609977324,29,4,1,68,4,69.53208262471655,3,2,4,,11681.39,1,25,4.0,2,0,,3,3.0,20,,13,17,,1979,53914.11,
68,40,556.2566609977324,-25,1,1,69,25,,4,2,3,,11681.39,5,20,4.0,2,3,15.0,0,3.0,12,,11,8,,1983,53914.11,
69,34,689.9285714285714,2,4,1,70,3,86.24107142857143,3,2,4,5572.5,14488.5,1,11,3.0,4,0,14.0,2,4.0,14,,4,11,5572.5,1989,66870.0,
70,35,556.2566609977324,8,4,1,71,3,,3,2,3,4492.84,11681.39,1,12,3.0,4,1,,5,3.0,14,,2,9,4492.84,1988,53914.11,
71,50,1032.4872861766066,17,5,1,72,4,,2,3,1,,21682.23,5,15,3.0,3,3,,3,3.0,14,11.0,1,11,,1973,100071.84,
72,49,1582.7713464696226,6,1,1,73,3,197.8464183087028,2,4,3,12783.92,33238.2,2,19,3.0,2,1,,3,3.0,15,,2,12,12783.92,1974,153407.07,
73,38,488.531746031746,1,3,1,74,4,61.06646825396825,3,2,4,,10259.17,7,15,3.0,4,2,19.0,4,,13,,2,9,,1985,47350.0,
74,33,290.03550973654063,21,3,1,75,2,,4,1,2,,6090.75,1,18,3.0,4,3,14.0,6,,14,,2,13,,1990,28111.13,
75,47,1032.4872861766066,4,3,1,76,3,,2,3,2,8339.32,21682.23,8,12,,3,1,,4,3.0,22,,14,10,8339.32,1976,100071.84,
